track_code,surface,distance,furlongs,distance_group,pace_shape_default,speed_closer_bias,rail_outside_bias,post_position_impact,distance_quirks,distance_weight_multiplier,horse_type_favored
AQU,Dirt,6F,6.0,Sprint,H:P/S,Fair,Fair,Middle posts favored,Slight rail bias on wet,1.0,Speed
AQU,Dirt,6.5F,6.5,Sprint,H:P/S,Fair,Fair,Middle posts favored,Short stretch run,1.0,Speed
AQU,Dirt,1M,8.0,Route,H:P/S,Fair,Fair,Wide posts OK,Two-turn mile,1.05,Stalker
AQU,Dirt,1M70,8.875,Route,M:P/F,Fair,Outside,Wide posts benefit,Long stretch,1.1,Closer
AQU,Dirt,1-1/16,8.5,Route,M:P/F,Fair,Outside,Post 1-5 favored,Clubhouse turn,1.05,Stalker
AQU,Turf,1M,8.0,Route,H:P/S,Fair,Fair,Wide posts OK,Firm turf plays fast,0.95,Speed
AQU,Turf,1-1/16,8.5,Route,M:P/F,Fair,Outside,Wide posts benefit,Widening turns,0.95,Stalker
AQU,Turf,1-3/8,11.0,Route,M:P/F,Closer,Outside,Outside posts favored,Marathon distance,1.15,Closer
BEL,Dirt,6F,6.0,Sprint,H:P/S,Fair,Rail,Rail favored on dry,Speed bias common,1.0,Speed
BEL,Dirt,7F,7.0,Sprint,H:P/S,Fair,Rail,Inside posts favored,True seven,1.0,Speed
BEL,Dirt,1M,8.0,Route,M:P/F,Fair,Fair,Wide posts OK,Widening finish line,1.05,Stalker
BEL,Dirt,1-1/8,9.0,Route,M:P/F,Fair,Outside,Outside posts favored,Big Belmont track,1.1,Closer
BEL,Turf,1M,8.0,Route,H:P/S,Fair,Fair,Wide posts OK,Inner turf course,0.95,Speed
BEL,Turf,1-1/16,8.5,Route,M:P/F,Fair,Outside,Wide posts benefit,Widening turf course,0.95,Stalker
BEL,Turf,1-1/2,12.0,Route,L:S/P,Closer,Outside,Outside strongly favored,Marathon - rare in US,1.2,Closer
SAR,Dirt,6F,6.0,Sprint,H:P/S,Fair,Fair,Wide posts OK,Fair track,1.0,Speed
SAR,Dirt,6.5F,6.5,Sprint,H:P/S,Fair,Fair,Middle posts favored,Speed-friendly,1.0,Speed
SAR,Dirt,1M,8.0,Route,M:P/F,Fair,Fair,Wide posts OK,Prestige meet,1.05,Stalker
SAR,Dirt,1-1/8,9.0,Route,M:P/F,Fair,Outside,Wide posts benefit,Travers distance,1.1,Closer
SAR,Turf,1M,8.0,Route,H:P/S,Fair,Fair,Wide posts OK,Turf often firm,0.95,Speed
SAR,Turf,1-1/16,8.5,Route,M:P/F,Fair,Outside,Wide posts benefit,Strong turf course,0.95,Stalker
SAR,Turf,1-3/8,11.0,Route,M:P/F,Closer,Outside,Outside favored,Sword Dancer distance,1.15,Closer
GP,Dirt,5F,5.0,Sprint,H:P/S,Speed,Rail,Inside strongly favored,Very speed-biased,0.9,Speed
GP,Dirt,6F,6.0,Sprint,H:P/S,Speed,Rail,Inside posts favored,Speed paradise,1.0,Speed
GP,Dirt,7F,7.0,Sprint,H:P/S,Fair,Rail,Rail favored,True seven,1.0,Speed
GP,Dirt,1M,8.0,Route,M:P/F,Fair,Fair,Wide posts OK,Championship track,1.05,Stalker
GP,Dirt,1-1/8,9.0,Route,M:P/F,Fair,Outside,Wide posts benefit,Pegasus distance,1.1,Closer
GP,Turf,1M,8.0,Route,M:P/F,Fair,Outside,Wide posts OK,Strong turf course,0.95,Stalker
GP,Turf,1-3/16,9.5,Route,M:P/F,Closer,Outside,Outside favored,Pan American distance,1.05,Closer
GP,Turf,1-1/2,12.0,Route,L:S/P,Closer,Outside,Outside strongly favored,Turf marathon,1.2,Closer
CD,Dirt,6F,6.0,Sprint,H:P/S,Fair,Rail,Inside posts favored,Speed-friendly,1.0,Speed
CD,Dirt,6.5F,6.5,Sprint,H:P/S,Fair,Fair,Middle posts favored,Common sprint distance,1.0,Speed
CD,Dirt,7F,7.0,Sprint,H:P/S,Fair,Fair,Wide posts OK,True seven,1.0,Speed
CD,Dirt,1M,8.0,Route,M:P/F,Fair,Fair,Wide posts OK,KY Derby distance,1.05,Stalker
CD,Dirt,1-1/16,8.5,Route,M:P/F,Fair,Outside,Wide posts benefit,Common route,1.05,Stalker
CD,Dirt,1-1/8,9.0,Route,M:P/F,Fair,Outside,Wide posts benefit,Classic distance,1.1,Closer
KEE,Dirt,6F,6.0,Sprint,H:P/S,Fair,Fair,Middle posts OK,Polytrack removed,1.0,Speed
KEE,Dirt,1M,8.0,Route,M:P/F,Fair,Fair,Wide posts OK,Blue Grass distance,1.05,Stalker
KEE,Turf,1M,8.0,Route,M:P/F,Fair,Fair,Wide posts OK,Beautiful turf course,0.95,Stalker
KEE,Turf,1-1/8,9.0,Route,M:P/F,Fair,Outside,Wide posts benefit,Strong turf venue,1.0,Closer
OP,Dirt,6F,6.0,Sprint,H:P/S,Fair,Fair,Middle posts favored,Hot Springs track,1.0,Speed
OP,Dirt,1M,8.0,Route,M:P/F,Fair,Fair,Wide posts OK,Arkansas Derby,1.05,Stalker
OP,Dirt,1-1/8,9.0,Route,M:P/F,Fair,Outside,Wide posts benefit,Oaklawn classic,1.1,Closer
DRC,Dirt,6F,6.0,Sprint,H:P/S,Fair,Fair,Middle posts OK,Seaside track,1.0,Speed
DRC,Dirt,7F,7.0,Sprint,H:P/S,Fair,Fair,Wide posts OK,True seven,1.0,Speed
DRC,Dirt,1M,8.0,Route,M:P/F,Fair,Outside,Wide posts benefit,Pacific Classic dist,1.05,Stalker
DRC,Turf,1M,8.0,Route,M:P/F,Fair,Outside,Wide posts OK,Strong seaside turf,0.95,Stalker
